OBJECTID,LONGITUDE,LATITUDE,SLIDE_NO,DEPTH,GEOLOGY,STRUCTURE,ABSTRACT,CITATION,LENGTH,WIDTH,HEIGHT,LS_AREA,TRIGGERING,REMARKS,LS_VOLUME,ALERT,STATE,DISTRICT,TOPOSHEET,SLIDE_NAME,ACTIVITY,STYLE,INITIATION,PHOTOS,REPORT,IMAGE_LAND,REPORT_LAN,NH_SH_LOCA,RUNOUT_DIS,MATERIAL_T,MOVEMENT_T,MOVEMENT_R,DISTRIBUTI,FAILURE_ME,REACTIVATI,REACTIVA_1,REACTIVA_2,GEOMORPHOL,HYDROLOGIC,LANDUSE_LA,PERSONS_DE,PEOPLE_AFF,LIVESTOCK_,COMMUNICAT,LANDUSE_AF,PRE_REMEDI,INFRASTRUC,GEOSCIENTI,Year,Location,Coordinate,layer,path
5650,75.89250000,11.72166700,KRL/WAY/54M14/2015/146,0.00000000,Charnockite,,,"Sulal NL  et al., 2016. Marcoscale Landslide Susceptibility Map for mountainous/hilly region on GIS platform for toposheets nos 49M/14 and 53A/3, Kozikode, Wayanad and Malappuram districts, Kerala. Unpub. GSI Report of FS 2014-16.",0.00000000,0.00000000,0.00000000,0.00000000,Rainfall,,0.00000000,,Kerala,Wayanad,49M14,Priyadarshini,Active,Single,2012,,,,,SH54,0.00000000,Rock cum Debris,Flow,Rapid,Confined,Shallow translational failure,0.00000000,0.00000000,0.00000000,Lowly dissected hill,Wet,Sparse vegetation,,,,,,Aforestation,,Porewater pressure,"2018",,,Points2018andBefore,C:\Users\swati\Desktop\Wayanad Exports\New folder\Points2018andBefore\Points2018andBefore.shp
5649,75.89750000,11.72194400,KRL/KOZ/54M14/2015/145,0.00000000,Charnockite,,,"Sulal NL  et al., 2016. Marcoscale Landslide Susceptibility Map for mountainous/hilly region on GIS platform for toposheets nos 49M/14 and 53A/3, Kozikode, Wayanad and Malappuram districts, Kerala. Unpub. GSI Report of FS 2014-16.",0.00000000,0.00000000,0.00000000,0.00000000,Rainfall,,0.00000000,,Kerala,Kozhikode,49M14,Purrimudi,Active,Single,2011,,,,,SH54,0.00000000,Rock cum Debris,Flow,Rapid,Confined,Shallow translational failure,0.00000000,0.00000000,0.00000000,Lowly dissected hill,Wet,Moderate vegetation,,,,,,Retaining wall,,Porewater pressure,"2018",,,Points2018andBefore,C:\Users\swati\Desktop\Wayanad Exports\New folder\Points2018andBefore\Points2018andBefore.shp
5653,75.93472200,11.67305600,KRL/WAY/54M14/2015/149,5.00000000,Charnockite,,,"Sulal NL  et al., 2016. Marcoscale Landslide Susceptibility Map for mountainous/hilly region on GIS platform for toposheets nos 49M/14 and 53A/3, Kozikode, Wayanad and Malappuram districts, Kerala. Unpub. GSI Report of FS 2014-16.",150.00000000,10.00000000,24.00000000,1500.00000000,Rainfall,,7500.00000000,,Kerala,Wayanad,49M14,Banasuramala,Active,Single,1992,,,,,Padinjarethara-Pulinjal Road,0.00000000,Rock cum Debris,Flow,Rapid,Confined,Shallow translational failure,0.00000000,0.00000000,0.00000000,Lowly dissected hill,Wet,Thick vegetation,,"11",,,,,Four House,Porewater pressure,"2018",,,Points2018andBefore,C:\Users\swati\Desktop\Wayanad Exports\New folder\Points2018andBefore\Points2018andBefore.shp
26041,75.93590000,11.70130000,KL/WYD/49M14/2018/06,6.00000000,Charnockite gneiss,,A rock cum debris slide was occurred on 14th  June 2018 at Veetikunnu which resulted in the damage to one house. Incessant rainfall is the triggering factor which resulted in the reduction of strength on saturation and increase in pore water pressure. Re,,70.00000000,12.00000000,45.00000000,840.00000000,Heavy rainfall,A number of rock boulders fallen along with this slide destroyed the house at the downslope side. Three precarious boulders are present in the crown area and three huge boulders already detached from the crown are also lying along the flow path. This loc,5040.00000000,II,Kerala,Wayanad,49M14,Veetikunnu Landslide,Reactivated,Single,0,,,"0",,Mananthavady ?Co Niravilpuzha  road,0.00000000,Rock cum debris,Slide,Very rapid,Retrogressive,Deep rotational (?e? 5m) failure,0.00000000,0.00000000,0.00000000,Moderately dissected hill,Dry,Mixed cultivation,,,,,Agricultural land damaged,Precarious boulders along the slide path have to be removed. Ensure free flow of water along the hill slopes. Avoid construction of dwelling units in the vicinity of the flow path.,One house damaged,Incessant rainfall is the triggering factor which resulted in the reduction of strength on saturation and increase in pore water pressure.,"2018",,,Points2018andBefore,C:\Users\swati\Desktop\Wayanad Exports\New folder\Points2018andBefore\Points2018andBefore.shp
25807,75.93683300,11.67075000,KL/WYD/49M14/2018/6,3.00000000,Charnockite,,,,110.00000000,10.00000000,50.00000000,0.00000000,Rainfall in mm,,0.00000000,,Kerala,Wayanad,49M14,Kapikalam,Active,Single,0,,,"0",,Padinjarathara-Pulinjal Forest Rd,75.00000000,Debris,Flow,Very rapid,Retrogressive,,0.00000000,0.00000000,0.00000000,Lowly dissected hill,Wet,Low Height Plantation,,"5",,,Forest,"Drainage should to be channelised, Box culvert with suitable dimension should be provided at road bench level","house damagd/debris filled at ho,e wall","pore water pressure,reduction of strength on super-saturation, gully erosion","2018",,,Points2018andBefore,C:\Users\swati\Desktop\Wayanad Exports\New folder\Points2018andBefore\Points2018andBefore.shp
5652,75.93638900,11.70666700,KRL/WAY/54M14/2015/148,4.00000000,Charnockite,,,"Sulal NL  et al., 2016. Marcoscale Landslide Susceptibility Map for mountainous/hilly region on GIS platform for toposheets nos 49M/14 and 53A/3, Kozikode, Wayanad and Malappuram districts, Kerala. Unpub. GSI Report of FS 2014-16.",100.00000000,20.00000000,17.00000000,2000.00000000,Rainfall,,8000.00000000,,Kerala,Wayanad,49M14,Pullinjal,Active,Successive,1991,,,,,Padinjarethara-Pulinjal Road,130.00000000,Rock cum Debris,Flow,Rapid,Confined,Shallow translational failure,2000.00000000,0.00000000,0.00000000,Lowly dissected hill,Wet,Moderate vegetation,,,,,,Retaining wall,One House,Porewater pressure,"2018",,,Points2018andBefore,C:\Users\swati\Desktop\Wayanad Exports\New folder\Points2018andBefore\Points2018andBefore.shp
6988,75.93722200,11.68055600,KRL/KOZ/54M14/2015/214,1.00000000,Hornblende-biotite gneiss,,,"Sulal NL  et al., 2016. Marcoscale Landslide Susceptibility Map for mountainous/hilly region on GIS platform for toposheets nos 49M/14 and 53A/3, Kozikode, Wayanad and Malappuram districts, Kerala. Unpub. GSI Report of FS 2014-16.",100.00000000,10.00000000,20.00000000,1000.00000000,Rainfall,,1000.00000000,,Kerala,Kozhikode,49M14,Padinjarethara forest,Active,Single,2007,,,,,Padinjarethara-Pulinjal Road,130.00000000,Debris,Flow,Rapid,Confined,Shallow translational failure,0.00000000,0.00000000,0.00000000,Lowly dissected hill,Wet,Moderate vegetation,,,,,,Retaining wall,,Porewater pressure,"2018",,,Points2018andBefore,C:\Users\swati\Desktop\Wayanad Exports\New folder\Points2018andBefore\Points2018andBefore.shp
26042,75.93690000,11.70340000,KL/WYD/49M14/2018/07,4.00000000,Charnockite gneiss,,A  successive  landslide  occurred  on  14th    June  2018  at Pulipparakunnu. The landslide initiated at the contact between rock and overburden in the form of debris slide and then transformed in to debris flow. Excessive rainfall is the triggering fac,,25.00000000,12.00000000,18.00000000,300.00000000,Heavy rainfall,Adjacent  to  this  landslide  another  landslide  with  similar properties was observed.,1200.00000000,III,Kerala,Wayanad,49M14,Pulipparakunnu Landslide,Reactivated,Successive,0,,,"0",,Mananthavady ?Co Niravilpuzha  road,0.00000000,Debris,Flow,Rapid,Retrogressive,Shallow rotational (?e? 5m) failure,0.00000000,0.00000000,0.00000000,Lowly dissected hill,Dry,Mixed cultivation,,,,,Agricultural land damaged,Precarious boulders along the debris flow path have to be removed. The natural flow of water should not be blocked along the nala.,,Landslide initiated at the contact between rock and overburden in the form of debris slide and then transformed in to debris flow. Excessive rainfall is the triggering factor which resulted in the reduction of strength on saturation and increase in pore,"2018",,,Points2018andBefore,C:\Users\swati\Desktop\Wayanad Exports\New folder\Points2018andBefore\Points2018andBefore.shp
26040,75.93710000,11.69410000,KL/WYD/49M14/2018/05,1.00000000,Charnockite gneiss,,A   debris   slide   was   occurred   on   14th     June   2018   at Valaramkunnu. Radial cracks developed on the upslope area. Debris material has reached up to nursery school downslope The main causes include (a) Unscientific slope modification and unp,,15.00000000,8.00000000,10.00000000,120.00000000,Heavy rainfall,Radial cracks developed on the upslope area. Debris material has reached up to nursery school downslope,60.00000000,III,Kerala,Wayanad,49M14,Valaramkunnu Landslide,Active,Single,0,,,"0",,Mananthavady ?Co Niravilpuzha road,350.00000000,Debris,Slide,Very rapid,Retrogressive,Shallow rotational (?e? 5m) failure,0.00000000,0.00000000,0.00000000,Lowly dissected hill,Dry,Mixed cultivation,,,,Road damaged,,Toe support with proper drainage conduits may be provided. Radial cracks are to be treated in order to avoid percolation of water.,,Unscientific slope modification and unprotected cut slope made for road construction. Incessant rainfall is the triggering factor which resulted in the reduction of strength on saturation and increase in pore water pressure.,"2018",,,Points2018andBefore,C:\Users\swati\Desktop\Wayanad Exports\New folder\Points2018andBefore\Points2018andBefore.shp
5651,75.94027800,11.70527800,KRL/WAY/54M14/2015/147,0.00000000,Charnockite,,,"Sulal NL  et al., 2016. Marcoscale Landslide Susceptibility Map for mountainous/hilly region on GIS platform for toposheets nos 49M/14 and 53A/3, Kozikode, Wayanad and Malappuram districts, Kerala. Unpub. GSI Report of FS 2014-16.",0.00000000,0.00000000,0.00000000,0.00000000,Rainfall,,0.00000000,,Kerala,Wayanad,49M14,Perigula,Dormant,Single,1999,,,,,Padinjarethara-Pulinjal Road,0.00000000,Rock cum Debris,Flow,Rapid,Confined,Shallow translational failure,0.00000000,0.00000000,0.00000000,Lowly dissected hill,Wet,Thick vegetation,,,,,,,,Porewater pressure,"2018",,,Points2018andBefore,C:\Users\swati\Desktop\Wayanad Exports\New folder\Points2018andBefore\Points2018andBefore.shp
